unique_id,authority_type,local_authority_code,org_name,url,report_pdf_url,faciliator,assembly_status,assembly_year,number_participants,assembly_description,thematic_grouping,source_notes,data_source,licence_notes,cached_report_url,__index_level_0__
la-adu-2020-climate-assembly,Local Authority,ADU,Adur District Council,https://www.adur-worthing.gov.uk/climate-assembly/,"https://www.adur-worthing.gov.uk/media/Media,159369,smxx.pdf",The Democratic Society,Finished,2020,43.0,"The Adur & Worthing Climate Assembly was held in 2020 to discuss how to collectively tackle climate change and support the area to thrive. The assembly members, randomly selected from the Adur District and Worthing Borough, met virtually over five weekends to deliberate on the issue. The recommendations from the assembly cover various themes such as green spaces and biodiversity, information and education, green finance and energy, and planning.",Climate Assembly,,InvolveTracker2021,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-adu-2020-climate-assembly.pdf,6
la-bar-2021-climate-assembly,Local Authority,BAR,Borough of Barrow-in-Furness,https://sharedfuturecic.org.uk/reports/the-furness-citizens-jury-on-climate-change/,https://sharedfuturecic.org.uk/wp-content/uploads/2024/04/Citizens-Jury-Climate-Furness-Cumbria-2022.pdf,Shared Future,Finished,2021,25.0,"The Furness Citizens’ Jury on Climate Change saw 25 citizens come together to consider what should happen in the Furness area to address the emergency of climate change. The jury met for ten Tuesday evening sessions over a three-month period, via Zoom, and heard from a range of expert opinions before reaching a series of recommendations for the council.",Climate Assembly,,mySocietySearch,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bar-2021-climate-assembly.pdf,20
la-bar-2022-climate-change,Local Authority,BAR,Barrow-in-Furness Borough Council,https://barrowbc.gov.uk/climate-emergency/citizens-jury/,https://sharedfuturecic.org.uk/wp-content/uploads/2022/03/Furness-Citizens-Jury-on-Climate-Change-Report-Final.pdf,Shared Future,Finished,2022,20.0,"The Furness Citizens’ Jury on Climate Change was a deliberative process that took place from November 2021 to February 2022. It was sponsored through funding from the National Lottery Climate Action Fund and Barrow Borough Council. The aim of the jury was to involve members of the local population in identifying ideas, strategies, and actions to address the climate emergency in the Furness area.",Climate Change,,mySocietySearch,CC BY-NC-SA 4.0,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bar-2022-climate-change.pdf,40
la-bbd-2022-climate-assembly,Local Authority,BBD,Blackburn with Darwen Borough Council,https://sharedfuturecic.org.uk/reports/the-blackburn-with-darwen-peoples-jury-on-the-climate-change-crisis/,https://sharedfuturecic.org.uk/wp-content/uploads/2024/04/Peoples-Jury-Climate-Blackburn-2022.pdf,Shared Future,Finished,2022,26.0,"The People’s Jury on Climate Change was run on behalf of Blackburn with Darwen Council, to give residents a say on how to tackle the issues relating to climate change in their borough. After 30 hours of deliberation, the jury produced a set of 15 recommendations on how to address the climate emergency in the Blackburn with Darwen area.",Climate Assembly,,mySocietySearch,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bbd-2022-climate-assembly.pdf,29
la-ben-2020-climate-assembly,Local Authority,BEN,London Borough of Brent,,https://legacy.brent.gov.uk/media/16416373/climate_assembly_report2020.pdf,Traverse,Finished,2020,53.0,Recommendations from Assembly members to Brent Council on addressing climate change,Climate Assembly,,InvolveTracker2021,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-ben-2020-climate-assembly.pdf,47
la-bgw-2021-climate-assembly,Local Authority,BGW,Blaenau Gwent County Borough Council,https://cynnalcymru.com/blaenau-gwent-climate-assembly/,https://cynnalcymru.com/wp-content/uploads/2021/05/Blaenau-Gwent-Climate-Assembly-Report-ENG.pdf,,Finished,2021,50.0,"The Blaenau Gwent Climate Assembly was held to address the question of what should be done in Blaenau Gwent to tackle the climate crisis in a fair and sustainable way. Assembly members met for 23 hours, heard from over 20 experts, and produced recommendations on topics such as housing retrofit, transport, and green space.",Climate Assembly,not linked at all on website,InvolveTracker2021,"Cynnal Cymru - Sustain Wales, 2021",https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bgw-2021-climate-assembly.pdf,22
la-bne-2023-climate-change,Local Authority,BNE,London Borough of Barnet,https://engage.barnet.gov.uk/barnets-citizen-assembly,https://engage.barnet.gov.uk/25268/widgets/72520/documents/44063,TPXimpact,Finished,2023,60.0,Barnet’s Citizens’ Assembly and Young People’s Assembly on Climate Change & Biodiversity,Climate Change,,mySocietySearch,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bne-2023-climate-change.pdf,31
la-bnh-2020-climate-assembly,Local Authority,BNH,Brighton and Hove City Council,https://www.brighton-hove.gov.uk/environment/brighton-hove-climate-assembly-findings-report#tab--3-the-assemblys-recommendations,,Ipsos MORI,Finished,2020,50.0,A citizens' assembly focused on reducing carbon emissions from transport and helping Brighton & Hove become carbon neutral by 2030.,Climate Assembly,"no pdf version, example of report spread over multiple pages",InvolveTracker2021,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bnh-2020-climate-assembly.pdf,17
la-bst-2021-covid-19-recovery,Local Authority,BST,Bristol City Council,,https://files.smartsurvey.io/2/0/T2H0LYNZ/BD13941__BCA_Report_V4_PRINT.pdf,Involve,Finished,2021,60.0,"The Citizens’ Assembly was a group of 60 people broadly reflective of the population of Bristol, who came together over four weekends to consider how we recover from COVID-19 and create a better future for all in Bristol.",COVID-19 Recovery,,InvolveTracker2021,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-bst-2021-covid-19-recovery.pdf,13
la-cmd-2019-climate-assembly,Local Authority,CMD,London Borough of Camden,https://www.camden.gov.uk/citizens-assembly-climate-crisis,https://www.camden.gov.uk/documents/20142/0/Camden+Citizens%27+Assembly+on+the+Climate+Crisis+-+Report.pdf/947eb4e5-5623-17a1-9964-46f351446548,Involve,Finished,2019,50.0,The Camden Citizens’ Assembly on the Climate Crisis brought together over 50 randomly selected residents from Camden during July 2019 to develop an approach for how Camden can best tackle the climate crisis.,Climate Assembly,,InvolveTracker2021,,https://raw.githubusercontent.com/mysociety/citizen-assembly-data/main/data/raw/reports/la-cmd-2019-climate-assembly.pdf,2
